X1,X2,X3,X21,X22,X23,X31,X32,X33,X41,X42,X43,X51,X52,X53,X61,X62,X63,X71,X72,X73,X81,X82,X83,X91,X92,X93,X10,Y10,Z10,X111,X112,X113,X121,X122,X123,X131,X132,X133,X141,X142,X143,X151,X152,X153,Total Y
35.06300154,-3.613515218,64.51105618,34.87021989,-3.26192473,63.64768954,35.03363388,-3.571796167,64.07581274,35.10810809,-3.618793619,64.33812002,34.60316642,-3.805705739,63.72322996,35.12895012,-3.789954825,64.32897456,34.61791824,-3.809297764,63.49207672,35.32985243,-3.601437481,65.69463343,34.67355207,-3.685735128,63.43500282,34.62149357,-3.647307049,63.43988735,35.12597764,-3.829270142,64.23767743,34.29915499,-3.736287001,63.30498279,35.06578218,-3.735219629,64.19698037,34.49631812,-3.691008821,63.61647934,34.76258417,-3.616374227,64.16055039,94.63291667
34.77931528,-3.553468087,64.11702305,34.88437421,-3.381428165,63.6009486,34.83335622,-3.636289112,63.64119383,34.89177783,-3.688955493,63.58281585,34.33836871,-3.756157369,63.09997592,34.83539234,-3.848279285,63.66219617,34.36097331,-3.810005637,63.26312992,35.03728119,-3.632338106,64.82835344,34.48885241,-3.779347839,63.24954072,34.45181478,-3.745760964,63.18846885,34.8964575,-3.878755731,63.722725,34.04893578,-3.84550213,62.71772778,34.81025086,-3.689691275,63.94600478,34.29619794,-3.876541619,63.22539565,34.58152907,-3.714827196,63.75526861,94.22741667
34.7677021,-3.289632419,64.2439059,34.75480857,-3.123833754,63.68167123,34.72782018,-3.387727785,63.68936898,34.79819836,-3.471404519,63.9210512,34.31197673,-3.514761514,62.98071653,34.73860857,-3.42700974,64.02992272,34.2901662,-3.47955298,63.18494873,35.04792629,-3.377231693,65.40509254,34.37908226,-3.533979658,63.11032443,34.34531481,-3.469221259,63.11325161,34.80794076,-3.62996501,64.15647279,33.91257117,-3.579668298,62.52367669,34.76050322,-3.418602551,63.84966292,34.11824853,-3.492307861,63.11986605,34.46425556,-3.460654868,63.67661889,93.804
35.05468919,-3.530702272,64.33326991,35.02947461,-3.691728538,64.04060766,34.99893987,-3.659335799,63.96846505,35.05553208,-3.694692297,64.004607,34.58248038,-3.781409351,63.30563184,35.09820017,-3.878267514,64.21445112,34.61306999,-3.781296814,63.82652162,35.29518448,-3.629730751,65.51387326,34.64834842,-3.814908508,63.3307152,34.62784674,-3.754699257,63.34448893,35.08251116,-3.898268798,64.2952415,34.20229057,-3.833197297,63.26317269,35.05651027,-3.701106905,64.2497737,34.48784968,-3.784175357,63.47055382,34.74675935,-3.720755452,64.01308477,94.638
34.7704614,-3.633680294,63.98934045,34.54843918,-3.43517713,63.53132695,34.69819926,-3.68353405,63.52454876,34.78220297,-3.743928938,63.69289311,34.28267528,-3.824324603,63.22187424,34.70754131,-3.897802481,63.78273692,34.29213325,-3.784998398,63.0430795,34.98942109,-3.71613673,65.17242769,34.34019338,-3.8357743,63.00185641,34.32308698,-3.770723647,63.3971467,34.78278557,-3.930906613,64.03776188,33.91138936,-3.889848682,62.883125,34.75566579,-3.774921993,63.79759222,34.16608627,-3.821171898,62.97269335,34.45173752,-3.777175781,63.63681474,93.81154167
34.68239157,-3.554902289,63.65031297,34.70167489,-3.552364782,63.00743108,34.66528509,-3.513356211,63.37589251,34.72371384,-3.544206399,63.2186883,34.23444561,-3.632570848,62.70235164,34.65800578,-3.710870942,63.20371989,34.27665458,-3.63230693,62.85403249,34.87583336,-3.490497476,64.55311722,34.31868485,-3.645326017,62.41809368,34.30713333,-3.592530234,62.79450877,34.73259205,-3.742476172,63.32944491,33.86273634,-3.715174147,62.22889371,34.67875156,-3.53271163,63.44251154,34.13201449,-3.619577555,62.43715812,34.40448112,-3.596212258,63.25846329,93.80841667
34.83033739,-3.572638494,64.48470748,34.70839891,-3.580999381,63.54622338,34.86294855,-3.557663576,63.55896887,34.93681268,-3.593282435,63.93041395,34.43434877,-3.804605534,63.30985296,34.87849814,-3.753030059,63.90378545,34.44740686,-3.661638295,63.06322655,35.16709212,-3.582677824,65.28214071,34.50870815,-3.667333357,63.08618824,34.48607622,-3.621796115,63.43171518,34.9411998,-3.807736314,63.99033244,34.04923124,-3.737945686,62.71747175,34.91839916,-3.59135776,63.84792404,34.34133919,-3.633557662,63.05451612,34.59955116,-3.606868762,63.705569,94.22154167
34.80074375,-3.426870957,64.08403997,34.70425379,-3.424282506,63.36498633,34.8378,-3.412443476,63.7160516,34.90744754,-3.452270979,63.84454002,34.34235829,-3.645858414,63.09042743,34.8463185,-3.603008564,64.06098041,34.44376179,-3.497038305,63.26809829,35.05946163,-3.492460403,64.74292656,34.50748746,-3.535425319,63.25791599,34.48169913,-3.461330614,63.28738135,34.90654248,-3.647684623,63.7195992,34.04263685,-3.616074317,62.66395257,34.88411954,-3.431696543,63.93570221,34.33392824,-3.498013062,63.16004213,34.59853585,-3.454917455,63.89069113,94.21991667
34.99391811,-3.411828004,65.05325875,34.86788343,-3.417808369,63.95862255,35.00763773,-3.378543162,64.18759627,35.08819929,-3.437542311,64.41226801,34.50513809,-3.514873218,63.33953913,35.03516743,-3.633664003,64.49839652,34.62279502,-3.658981901,63.46346204,35.35684813,-3.461828474,65.82848407,34.66149609,-3.670712331,63.91841432,34.65548208,-3.500132647,63.44851271,35.09067935,-3.652823793,64.49058678,34.18299093,-3.569450106,63.19114481,35.05151221,-3.448015617,64.21698489,34.48480053,-3.521358707,63.52766927,34.75884409,-3.457887246,64.15848973,94.64641667
34.98699115,-3.442327876,64.89282842,34.86559357,-3.430134397,63.96918062,35.0336157,-3.412025819,64.11113169,35.08304446,-3.468395339,64.09963117,34.58896853,-3.659310165,63.32529816,35.01015752,-3.634178048,64.25740124,34.51913553,-3.651122235,63.51026905,35.25527478,-3.613765723,65.5277461,34.57837368,-3.6977984,63.79723069,34.62196511,-3.593242732,63.77933479,35.08781873,-3.647971977,64.39103864,34.2040152,-3.581437562,63.24028046,35.04357627,-3.435106093,64.11849311,34.46009581,-3.511517858,63.25273187,34.74521865,-3.46071152,64.08495975,94.635875
