X61,X62,X63,Total Y
44.1602031,-14.66863253,50.35638526,101.24
44.17758349,-14.71028838,50.32060956,101.22
44.15753802,-14.78058914,50.23333043,101.2
44.16516654,-15.64857644,50.67815656,101.18
44.17347551,-14.87365524,50.42140573,101.07
44.18789982,-14.64168158,51.02758565,101.19
44.19267168,-14.47801898,50.86662215,101.21
44.14963552,-14.52123575,51.02758565,101.21
44.15576109,-14.85361782,51.10400357,101.19
44.15858386,-14.8159081,50.42140573,101.15
44.16297839,-14.79760662,50.23333043,101.15
44.1581768,-14.97317533,50.38562709,101.13
44.10112626,-14.93901534,50.38562709,101.09
44.144768,-15.05248256,50.48555757,101.1
44.09593196,-15.02579981,50.48555757,101.05
44.11043776,-15.00912171,50.59126573,101.05
44.10884672,-15.06773523,49.80087817,101.05
44.09869944,-14.92469615,49.73177428,101.03
44.15956567,-14.55865529,51.02758565,101.04
44.14821393,-14.49604384,51.69878605,101.1
44.14909657,-14.4659063,50.86616571,101.12
44.1257455,-14.66682408,50.98924451,101.09
44.13641472,-14.85618737,50.42140573,101.06
44.1508013,-14.74045115,50.23333043,101.03
44.0885167,-14.82366035,50.38664148,101.02
44.10544922,-14.97491892,50.59126573,100.99
44.09191722,-15.07367063,49.80087817,100.96
44.07316732,-15.03552567,50.48555757,100.96
44.05572151,-15.05177095,49.80087817,100.94
44.02855265,-15.12058348,50.04533662,100.93
44.03482988,-15.20433746,49.24984054,100.89
44.0071363,-15.14011082,50.04533662,100.87
44.0152816,-15.25330572,49.85491713,100.87
43.97915817,-15.35174001,48.9138029,100.83
43.95391858,-15.3710703,49.28971835,100.81
43.95377704,-15.36608314,49.05021674,100.8
43.91473635,-15.39064406,49.05021674,100.76
43.92856484,-15.37578265,49.05021674,100.76
43.90099952,-15.40006238,49.05021674,100.74
43.90238318,-15.45917203,49.41135591,100.73
43.91778865,-15.53009364,48.91665837,100.73
43.90087662,-15.56968343,48.62674015,100.71
43.84425526,-15.5442296,48.90978295,100.68
43.86624597,-15.48635326,49.42986579,100.68
43.93155991,-15.2340822,49.5331669,100.69
44.00129273,-15.16496908,49.9093515,100.75
43.99892239,-15.1057196,50.04533662,100.75
44.00406079,-15.13055051,50.04533662,100.77
43.99989941,-15.1820295,49.24984054,100.77
43.96025358,-15.29386592,49.5331669,100.73
43.93833973,-15.35928904,49.28971835,100.71
43.92546634,-15.35478584,49.05021674,100.68
43.88830967,-15.48570586,49.42986579,100.66
43.8879956,-15.36605446,49.28971835,100.63
43.89411049,-15.30166981,48.9138029,100.65
43.9353222,-15.3282851,48.72870265,100.67
43.87097484,-15.53787877,48.62674015,100.62
43.81871192,-15.60353465,48.54063725,100.57
43.820965,-15.45982431,49.42566212,100.56
43.90281098,-15.53929484,48.62674015,100.58
43.83141719,-15.50721281,48.90978295,100.56
43.83808012,-15.49085979,49.42986579,100.54
43.8773204,-15.46418758,49.42986579,100.55
43.89989126,-15.27683526,49.85491713,100.56
43.92674637,-15.14974506,50.33241366,100.59
43.97830789,-15.12843901,50.04533662,100.63
43.95387257,-15.27742244,49.5331669,100.63
43.90844295,-15.35786367,49.28971835,100.58
43.89466786,-15.38098724,49.28971835,100.55
43.88258012,-15.46763107,49.42986579,100.54
43.87055111,-15.45241971,49.42986579,100.51
43.88058315,-15.46796901,49.42986579,100.52
43.83630096,-15.48492125,48.91665837,100.5
43.8329122,-15.39559684,49.05021674,100.49
43.85474818,-15.44970713,49.06132052,100.48
43.82329107,-15.44153443,49.80203955,100.46
43.88175718,-15.33729738,49.05021674,100.48
43.85856014,-15.33617343,49.05021674,100.48
43.87036626,-15.3913342,49.3059249,100.5
43.89900221,-15.29634235,50.10059696,100.49
43.90088669,-15.70699295,49.00374477,100.5
43.80824312,-15.60979697,49.04021947,100.54
43.85674902,-15.57650212,49.01742379,100.55
43.83271964,-15.61399613,49.42625327,100.51
43.81758865,-15.6751099,49.01391887,100.47
43.7885748,-15.6458872,49.04021947,100.47
43.79059375,-15.64540925,48.57357745,100.45
43.77696602,-15.61924319,49.04021947,100.43
43.78183129,-15.59793651,49.0174015,100.42
43.78184081,-15.65659429,49.01394581,100.42
43.78510294,-15.49372561,48.909756,100.4
43.77708399,-15.49428546,48.90978295,100.42
43.78903873,-15.46573174,49.42986579,100.41
43.81044948,-15.55920997,48.62674015,100.41
43.72658307,-15.63551217,48.56773593,100.35
43.71358464,-15.60442848,49.04024176,100.34
43.73895902,-15.60539559,49.04024176,100.34
43.72716852,-15.56847393,49.01742379,100.33
43.73659864,-20.10947303,38.69257122,100.33
42.46940236,-16.27973881,50.62157818,98.22
43.18741643,-15.60431452,49.46261031,98.92
43.27249608,-15.50401193,49.44874669,99.12
43.36830711,-15.35436596,49.42528102,99.24
43.40234496,-15.27745023,49.98702023,99.35
43.46520745,-15.21667572,49.85727248,99.45
43.50032392,-15.13549041,50.16004681,99.51
43.53945643,-15.0872622,50.16004681,99.56
43.55440623,-15.07432283,50.16004681,99.62
43.57179124,-15.05265058,50.16004681,99.66
43.60884693,-15.14760062,49.53496274,99.7
43.56971284,-15.21161786,49.85727248,99.7
43.57074499,-15.19860694,49.53535968,99.7
43.56264606,-15.21844384,49.85727248,99.73
43.61022826,-15.30991275,49.06325589,99.75
43.54555689,-15.37010758,49.06132052,99.73
43.51031407,-15.44713524,48.909756,99.72
